ID	Hexagon_index	Cluster_base
ips differentiation to neuron down-syndrome donor c11-ccl54	89	10
ips differentiation to neuron down-syndrome donor c18-ccl54	89	10
iris pigment epithelial cells	24	5
k562 erythroblastic leukemia response to hemin	110	1
keratinocyte - epidermal	50	1
keratinocyte - oral	60	10
keratocytes	48	1
kidney	64	3
left atrium	96	3
left ventricle	98	6
lens epithelial cells	4	5
leukemia	34	8
liver	108	1
locus coeruleus	126	4
locus coeruleus - adult	90	10
lung	95	3
lung right lower lobe	94	3
lymph node	40	10
lymphatic endothelial cells response to vegfc	29	5
lymphoma	80	2
macrophage - monocyte derived	79	2
mallassez-derived cells	47	1
mammary epithelial cell	28	5
mast cell	85	9
mast cell - stimulated	78	2
mature adipocyte	99	6
mcf7 breast cancer cell line response to egf1	55	2
mcf7 breast cancer cell line response to hrg	55	2
medial frontal gyrus - adult	61	10
medial temporal gyrus	127	4
medial temporal gyrus - adult	61	10
medulla oblongata	62	4
medulla oblongata - adult	39	10
melanocyte	31	2
melanocyte - dark	79	2
melanocyte - light	51	2
meningeal cells	12	5
mesenchymal precursor cell - adipose	46	1
mesenchymal precursor cell - bone marrow	70	6
mesenchymal precursor cell - cardiac	24	5
mesenchymal precursor cell - ovarian cancer left ovary	68	6
mesenchymal precursor cell - ovarian cancer metastasis	100	6
mesenchymal precursor cell - ovarian cancer right ovary	69	6
mesenchymal stem cells - adipose	107	1
mesenchymal stem cells - amniotic membrane	69	6
mesenchymal stem cells - bone marrow	27	5
mesenchymal stem cells - hepatic	105	1
mesenchymal stem cells - umbilical	74	1
mesenchymal stem cells - vertebral	2	7
mesenchymal stem cells - wharton's jelly	68	6
mesenchymal stem cells (adipose derived)	73	1
mesenchymal stem cells (adipose derived) adipogenic induction	106	1
mesothelial cells	69	6
middle temporal gyrus	127	4
migratory langerhans cells	112	2
monocyte-derived macrophages response to lps	111	1
monocyte-derived macrophages response to mock influenza infection	110	1
monocyte-derived macrophages response to udorn influenza infection	110	1
multipotent cord blood unrestricted somatic stem cells	24	5
mycosis fungoides	55	2
myoblast	69	6
myoblast differentiation to myotubes	23	6
nasal epithelial cells	11	5
natural killer cells	118	2
neural stem cells	115	2
neurons	109	1
neutrophil pmn	77	1
neutrophils	6	7
nucleus accumbens	92	4
nucleus pulposus cell	25	5
occipital cortex	126	4
occipital cortex - adult	91	4
occipital lobe	37	10
occipital pole	127	4
olfactory epithelial cells	69	6
olfactory region	126	4
oligodendrocyte - precursors	22	7
optic nerve	12	5
osteoblast	49	1
osteoblast - differentiated	105	1
ovary	93	3
pancreas	108	1
pancreatic stromal cells	42	6
paracentral gyrus	127	4
parietal lobe	37	10
parietal lobe - adult	126	4
parotid gland	104	1
penis	95	3
pericytes	48	1
perineurial cells	3	5
peripheral blood mononuclear cells	118	2
pineal gland	39	10
pineal gland - adult	40	10
pituitary gland	62	4
pituitary gland - adult	38	4
placenta	95	3
placental epithelial cells	50	1
pons	127	4
postcentral gyrus	127	4
preadipocyte - breast	46	1
preadipocyte - omental	46	1
preadipocyte - perirenal	25	5
preadipocyte - subcutaneous	47	1
preadipocyte - visceral	12	5
promyelocytes/myelocytes pmc	110	1
prostate	93	3
prostate epithelial cells	69	6
prostate epithelial cells (polarized)	60	10
prostate stromal cells	25	5
putamen	91	4
rectum	93	3
renal cortical epithelial cells	12	5
renal epithelial cells	14	5
renal glomerular endothelial cells	33	9
renal mesangial cells	14	5
renal proximal tubular epithelial cell	14	5
reticulocytes	110	1
retina	93	3
retinal pigment epithelial cells	4	5
sabiosciences xpressref human universal total rna	95	3
salivary acinar cells	35	8
salivary gland	108	1
saos-2 osteosarcoma treated with ascorbic acid and bgp to induce calcification	2	7
schwann cells	75	1
schwannoma cell line:hs-pss	2	7
sebocyte	47	1
seminal vesicle	97	6
serous adenocarcinoma cell line:sk-ov-3-r	7	7
serous adenocarcinoma cell line:sk-ov-3-r after co-culture with soc-57-02-g	18	8
sertoli cells	45	5
skeletal muscle	100	6
skeletal muscle - soleus muscle	71	1
skeletal muscle cells	12	5
skeletal muscle cells differentiated into myotubes - multinucleated	14	5
skeletal muscle satellite cells	10	5
skin	96	3
skin - palm	102	6
small airway epithelial cells	36	8
small intestine	96	3
smooth muscle	63	3
smooth muscle cells - aortic	73	1
smooth muscle cells - bladder	22	7
smooth muscle cells - brachiocephalic	106	1
smooth muscle cells - brain vascular	25	5
smooth muscle cells - bronchial	107	1
smooth muscle cells - carotid	105	1
smooth muscle cells - colonic	10	5
smooth muscle cells - coronary artery	74	1
smooth muscle cells - esophageal	48	1
smooth muscle cells - internal thoracic artery	50	1
smooth muscle cells - intestinal	29	5
smooth muscle cells - prostate	26	5
smooth muscle cells - pulmonary artery	29	5
smooth muscle cells - subclavian artery	73	1
smooth muscle cells - tracheal	76	1
smooth muscle cells - umbilical artery	28	5
smooth muscle cells - umbilical vein	107	1
smooth muscle cells - uterine	46	1
spinal cord	39	10
spinal cord - adult	64	3
spleen	39	10
stomach	93	3
submaxillary gland	101	6
substantia nigra	39	10
substantia nigra - adult	109	1
synoviocyte	106	1
temporal lobe	127	4
temporal lobe fetal	35	8
tenocyte	70	6
testis	124	11
thalamus	91	4
thalamus - adult	65	3
throat	95	3
thymus	20	10
thyroid	95	3
tongue	97	6
tongue epidermis (fungiform papillae)	103	1
tonsil	63	3
trabecular meshwork cells	75	1
trachea	95	3
tracheal epithelial cells	29	5
umbilical cord	94	3
universal rna - human normal tissues biochain	95	3
urethra	103	1
urothelial cells	27	5
uterus	94	3
vagina	93	3
whole blood (ribopure)	117	2
transitional cell carcinoma cell line	11	5
transitional-cell carcinoma cell line	33	9
tridermal teratoma cell line	22	7
tubular adenocarcinoma cell line	35	8
wilms' tumor cell line	32	2
xeroderma pigentosum b cell line	31	2
