"Cell_types"	"Human"	"Theria (Live birth Mammals)"	"Mammalia (Placental mammals, Marsupials and Monotremes)"	"Amniota (Four limbed vertebrates with terrestrial eggs)"	"Euteleostomi (Bony vertebrates)"	"Chordata (Have a notochord/spinal column)"	"Deuterostomia (Mouth comes second, after anus)"	"Coelomata (Body cavity forming)"	"Bilateria (Bilateral symmetry forming)"	"Eumetazoa (True tissue forming animals)"	"Opisthokonta (Animal-like and Fungi-like)"	"Eukaryota"	"Cellular organisms"
"bone marrow stromal cell line"	1.22391006527651	0.109913256461615	-0.996945552669598	0.417218249145759	-0.138167426655541	-0.18626893915332	0.988935908743683	-0.261292289219915	-0.0470522431967112	0.335155904491329	-0.0131614628719705	0.333449056148612	-0.217563133861357
"breast carcinoma cell line"	-0.754646687841674	-0.746538404784039	0.840087120393708	-0.127364097782198	-0.978141589981493	-1.4845616980894	-0.229703157697119	0.164388248901092	-0.131921591994144	-0.374974532096962	0.362177011342578	0.770220213847599	0.337025879371952
"bronchial squamous cell carcinoma cell line"	-0.0617795570597005	-0.0716757416525753	0.0475838700162365	0.370913775467787	-0.264401111938106	0.913273677706179	0.772513939188477	0.506483729554956	1.20638330508998	0.338276750847404	0.688090854355493	-0.149511030875391	-0.409187384078888
"bronchioalveolar carcinoma cell line"	0.943394387732628	1.04263885096316	-1.29448599610272	0.690340250393778	-0.164601273356579	1.10577524833098	0.541619742189219	0.13386426959528	1.27670178158884	0.20812304634497	0.926915479661584	-0.0202594393483815	-0.651785783796536
"bronchogenic carcinoma cell line"	-0.313344455847482	0.000881503394366397	0.201989722665066	0.926691098596452	-0.689404988797415	-0.0125523266336433	0.954525412453274	0.171694706450432	1.44538065158214	0.227629084833027	0.542905580382888	0.289787272257563	-0.278712821428146
"burkitt's lymphoma cell line"	-0.732717151830655	-0.797703268083376	0.902115015363254	0.235438478522436	-1.88707076259446	-2.2921892999489	-0.827487391216935	-0.4512208324837	-0.579227020012963	-1.85363849754798	-0.167254805015068	1.87317205922833	0.925713430692328
"carcinoid cell line"	-1.42638413345979	-1.03078793033047	1.13859972361715	-0.786569712112327	-1.42263104682143	-1.66219637347125	0.0303839135331702	-0.645649320726392	0.745853723726213	-2.14708716121096	-0.412456856398809	1.62886759814852	1.03724811913823
"carcinosarcoma cell line"	-0.169185997986608	1.32719806279507	-0.154949536178326	1.56456534539335	0.472906978200467	0.255127624425341	1.34898326039279	0.840876913160061	0.892891647706963	0.0638412276647157	0.647990194913887	-0.2975239640114	-0.87574860864617
"cervical cancer cell line"	-0.0859700741752781	-0.775388021825195	0.684337625216753	0.247673576577638	-0.813566514696427	-0.0962079807334449	-0.0506516484604708	-0.20684173990078	-1.81048194195072	-0.833504695741827	-0.266681907269159	0.940660196806872	0.369061446813141
"cholangiocellular carcinoma cell line"	-0.0407207366684149	1.30179842751489	0.0872939152191038	0.543935198419032	0.508428698730746	0.720670823100521	0.535170602898709	1.38564901649018	-0.538829471389524	0.0721689193680433	0.306721547906981	-0.418160580596206	-0.790180480745097
"chondrosarcoma cell line"	-0.229409475984388	0.279639898204961	-1.07921029062131	-0.40931800155979	0.578233870940645	0.345338449998443	0.865260798232396	0.816271562821293	-0.656606583705895	1.42801773515564	-0.309255851010542	-0.280389831806759	-0.622933516385419
"choriocarcinoma cell line"	-0.0389521118399295	-0.692346570334846	0.784080680471787	-0.161689939348622	-1.55219908850852	-1.39398565700112	-0.598364664145032	0.0346903494304231	0.312635669151442	-1.04007140279428	0.78141662615949	1.49911400581518	0.343144373250172
"chronic lymphocytic leukemia (t-cll) cell line"	-0.666137123301234	-0.856602165268572	-0.546418263891913	0.0260732313737357	-1.70295770223214	-2.14722998309959	-1.018275902341	-1.79509569368283	-0.913174625814095	-1.65397179707433	-0.526763538389017	1.53757551890607	1.39479904073534
"chronic myeloblastic leukemia (cml) cell line"	-0.63030900631208	0.133715963117141	1.66668898403225	0.088183700542187	-1.02760278819347	0.0381150186845968	-0.458762828045635	0.16948397780733	0.578701688689184	0.0737181468907556	0.866698785778166	0.424411105921618	-0.0655667641006325
"chronic myelogenous leukemia (cml) cell line"	-0.613590484424682	0.636010633436812	0.282487226215275	0.410305607354328	-0.721713374140963	-0.560189005450789	0.461100852356472	-0.343013326815799	0.634836637380825	-0.145463756929784	0.987131365462475	0.603090072881142	-0.141505939414322
"chronic myelogenous leukemia cell line"	-1.84879582478459	-0.966422469256838	0.947537156736666	0.102044130245267	-1.73686106761909	-1.24226258454005	0.192157355864148	-0.7805548500586	-0.00937243654551715	-1.91154888860312	-0.169723573200288	1.87017058806622	0.88397911616003
"clear cell carcinoma cell line"	-0.733602624864074	-0.494388622630629	-0.689538359190722	-0.902528589089371	-0.391471406214582	-0.423290512576437	-0.829412837334101	-1.39585693665175	-1.09972508382672	-0.251328580681363	0.747793782518367	1.48700404834838	0.253528338861097
"colon carcinoma cell line"	-0.837442466612532	-0.452410040365102	-0.909822322143401	0.348418214651872	-1.16568765832747	-0.461295226769232	0.498450607750726	-0.239931482590465	0.094899158913077	-0.79481108276389	0.62994772391642	1.0716973254709	0.210792765214907
"cord blood derived cell line"	-1.38463376031077	-1.87624931265774	-2.07062403986019	-0.70062190393638	-1.10770284330404	-1.05382413593697	-0.509505984511052	-1.39854459223571	-0.141178347336465	-1.76893532235802	1.11227780522507	1.50051772946288	1.04862141052709
"diffuse large b-cell lymphoma cell line"	-0.376485738333352	-0.833553025496387	0.857332622459889	0.0444550209155655	-1.49974782213791	-1.61189715578268	-0.214677553833648	-0.875005980784979	0.402148671105748	-1.72714409066577	-0.164820808212738	1.59796674563159	0.865373217384639
"ductal cell carcinoma cell line"	-1.53510212100846	-0.486574791889637	0.677334977095737	-0.227113417560965	-0.935094185077004	-0.520925970911582	0.257281727098814	-0.457523895465507	0.182193689108564	-1.18500379722398	0.493260322670405	0.54435654815594	0.625581427735569
"embryonic kidney cell line"	-0.708154873572141	0.904723745275909	0.0532218713616761	1.50109574557001	-0.0508457495806073	-0.0764134951316161	0.779159936821003	0.895682728713669	-0.131571304206729	0.0495960731483313	0.40576238960438	0.0435282521551149	-0.625645381117791
"embryonic pancreas cell line"	0.373547879714408	1.03881493319558	0.235923608553198	0.0838715668567836	-0.389253291330001	0.932659063931759	1.28629669633928	0.330087481690359	-0.357205753726945	0.184541012921262	0.229942565229312	-0.0682239546670346	-0.391290127609636
"endometrial carcinoma cell line"	0.900680618247862	0.791415513412485	0.0326054519293496	1.05999782886677	0.547463414576699	0.766950747857715	0.473507471986326	0.538960542272442	0.288770406752849	0.300742158847987	0.741957249484744	-0.313042364376894	-0.755652768686685
"endometrial stromal sarcoma cell line"	-0.345684464671225	1.18256034197735	0.133384212625134	1.15264741821025	-0.174671612731114	0.280157457721257	1.44668456225168	0.575850448804865	-0.0270833813413849	0.737613387766819	0.544113008605058	-0.208111324646137	-0.69328165578084
"endometrioid adenocarcinoma cell line"	-0.276360467086202	-0.836068753229529	0.280446887785438	0.555259979701039	-0.615486027622516	-0.172868119773025	1.34106200708898	0.617919802560849	-0.302798836002157	0.291218933319741	0.565283918354972	-0.166263397591953	-0.0254887368104492
"epidermoid carcinoma  cell line"	-0.0667491750825481	0.446311876774034	-1.33558659693471	-0.05749946763422	0.398852669648295	1.02389173233207	0.479829946505925	0.655722339201116	0.744207201597289	0.375190508332274	1.15735658654027	0.040690625720839	-0.795232187756854
"epidermoid carcinoma cell line"	-0.106870580170697	0.879720604818573	-0.0374430466254074	0.442001654211834	-0.0469582415503685	0.420065038520717	0.116765350267944	0.650691497781931	0.191758850286725	0.542164041637785	0.625669101566459	-0.142725361988857	-0.590280782722298
"epithelioid sarcoma cell line"	0.679300964743911	1.3447223885732	0.190109440300658	1.34900753336478	-0.328166655762966	-0.411155366315997	1.22994354346387	0.211399640407888	0.506900807500534	0.509234299422709	0.303417836259599	0.0175809512741348	-0.56141833696654
"ewing's sarcoma cell line"	0.929702029851063	0.100765898539417	0.576434016655942	-0.288954705576858	0.743421477369611	0.598764550421818	0.468248591311145	-0.215550217976869	1.04192938379536	0.0720322398557601	-0.872205792154843	-0.366983890436968	-0.079679977202082
"extraskeletal myxoid chondrosarcoma cell line"	0.637520360490021	1.35154015873763	0.125649354113145	1.85835857976423	-0.393149378283964	0.52260119703667	0.864536446935792	0.840424007806166	-0.0371654134631614	0.165754908495038	-0.0857197007864761	-0.49612483778125	-0.510150388725596
"fibrosarcoma cell line"	0.329179525934735	0.317600778369282	0.160625829699118	0.0300306829156856	0.065524340599487	0.698083456039962	0.32994350740745	0.670629592001875	0.00842481288910543	0.00412729233974902	-0.189149762675848	0.311306619974141	-0.450415832708343
"fibrous histiocytoma cell line"	-0.610218201377309	0.461257482052157	0.290663112259619	-0.0237659239826972	-0.172645841639447	0.620362622099909	0.469900419215529	0.348472018827392	0.177922426552175	-0.000160364738895337	-0.238152763154737	0.267769791491996	-0.2522818209414
"gall bladder carcinoma cell line"	-0.545160161248248	0.919153026532912	0.448392198131577	0.537407682334905	-0.0677897655543384	-0.234938829459327	0.337001707632865	-0.311523011505249	0.383515031489267	-0.150149292635311	0.303193226767911	0.551821878690396	-0.305214648189841
"gastric adenocarcinoma cell line"	-0.472655990648349	-0.53338762635209	0.624173954359401	0.516781192958329	-0.92187582964219	0.109674393934789	1.45219031751758	-0.458368668695694	-0.378175358379933	-0.221950816725718	0.459927659643232	0.765394722253841	0.0751865469846085
"gastric cancer cell line"	-0.393190649061525	0.879307412545952	0.0326054519293496	1.48056286728597	-0.383506563072904	-0.103017911531008	1.59890793647504	0.864320502025302	-0.605658123142251	0.0594013173078674	-0.550971917232212	0.0497068646444197	-0.417432738628617
"gastrointestinal carcinoma cell line"	-0.398461000455861	0.426959491751106	0.0214250237646982	1.32952491390935	0.069548638768117	-0.613558146034079	-0.381430151749496	1.00966120366643	-0.17301703179788	0.573786634358246	0.310710782942303	-0.213879416049724	-0.500632529959647
"giant cell carcinoma cell line"	-1.4476879092387	-1.09735695502761	1.0482128340492	-0.664301877219513	-0.934045909656906	-0.706991662106803	0.285033512697709	-0.996434221446414	-0.424501195986955	-0.872110129120265	0.433727554173093	1.18688646436958	0.649166824117983
"glassy cell carcinoma cell line"	0.61884286456347	0.691728073789669	0.0968332797960712	0.126245031936057	-0.212896365670039	-0.0201352420837877	0.545926565881504	0.193970009127749	1.28261408295081	0.339609162922583	1.13985005726312	0.0823562370202009	-0.489936652430226
"glioblastoma cell line"	-0.668683211361162	0.932946199200172	0.148918409192107	0.164818059699408	-0.0527932305393944	0.808564889060054	-0.544591003095593	0.764380711215491	0.906544332316032	0.222530625274896	0.691831932977776	-0.0412779386981535	-0.565516691562811
"glioma cell line"	-0.440711797443506	0.841304070516623	-1.41539998405953	1.38016086312246	0.883776534864697	1.10887976065824	0.912206985271991	0.657734128025295	-0.728847361399923	0.285028815241868	0.238035325639109	-0.790517513539432	-0.655171199184786
"granulosa cell tumor cell line"	0.597906773964721	-0.1421690518615	0.0645325931850276	0.807342266956369	0.897793642034874	0.0631864523588567	1.35846572297069	0.858346850124263	1.68243265081964	0.320062636754379	0.339539468628368	-0.420542002855253	-0.690125750710717
"hairy cell leukemia cell line"	-0.181829779788027	-0.564409191101117	0.480982578788565	0.259098403238456	-1.153834554145	-0.868732994581758	0.0660777232531068	-0.154614000335383	0.425995092906733	-1.12093120903239	-0.144365563562692	0.854659593355693	0.517338735174251
"hepatic mesenchymal tumor cell line"	0.925321183831424	-0.388397029548621	-0.936989834942631	-0.447000718060269	0.906185436916416	-0.365038772029714	1.07907209832248	0.25255954210164	-1.42226669505917	0.653020482066929	-0.889226609323268	0.174355819700208	-0.295332199803876
"hepatoblastoma cell line"	-0.0704652985314103	0.141674480950702	0.717229175955024	-0.202662623127818	-0.66933484448764	0.50089190984595	-1.91893720328673	-0.106863626754976	0.733931660537671	0.523433096030377	-0.7413614631757	0.837714264897904	-0.102581292530852
"hepatoma cell line"	-0.755266961578395	-0.100021682211998	1.28799820235704	0.56055048133585	0.384624076571455	0.875650084580308	0.0914131317361472	0.508719797099826	1.0383140744834	0.659243449039479	0.748640858324342	-0.275202926244277	-0.586402633720206
"hereditary spherocytic anemia cell line"	-0.146371688978661	-0.785792172826064	-0.947094145543164	0.466443296254284	-1.14883202325529	-1.33323546223569	0.139325590392622	-0.893318287012192	0.0341715256649745	-1.3612186363033	0.384152479514008	1.43000402206798	0.57954164142721
"hodgkin's lymphoma cell line"	-0.453610605735426	-0.198419450860537	0.670348280337184	1.17687467325662	-1.46044867465162	-1.08339587035403	-0.691628088628978	-0.40500331969846	-0.824681054722486	-1.46835767731627	0.918440834708592	0.958737519298954	0.504004974240284
"keratoacanthoma cell line"	-0.284030294003165	0.248797535635652	-1.16611400250803	0.104073324668299	-0.523010886991448	0.584383769354304	-0.438262383238398	0.76447886011603	0.143398027824489	-0.250808498865292	0.725422366077599	-0.294639866957563	-0.0658211074235767
"krukenberg tumor cell line"	-0.63030900631208	0.863665633886605	0.241954231842888	0.524787236189235	-0.436980356516054	0.167135794441398	-0.166683258342527	0.563546358440208	1.04297073492711	0.637443311716989	0.350454252131403	-0.0358568659298127	-0.447217037517298
"large cell lung carcinoma cell line"	-0.318146115557581	-0.823686025064089	0.998773332205877	0.134754744344539	-1.03353048968958	-0.902394828272189	0.570291911932355	-0.9182182641407	0.574987536319281	-1.81919579324043	-0.978235278787291	1.27692781189343	0.858039110376447
"large cell non-keratinizing squamous carcinoma cell line"	0.496775990587119	1.0699346565442	-0.0914943271801532	0.260812403466462	0.247319133957397	1.19449803544104	0.88356030080269	0.9405406876323	0.991110894655849	0.638442824420581	1.3340648476222	-0.683080880506201	-0.880999114238963
"leiomyoblastoma  cell line"	0.439913512263584	0.153408849918475	0.348553090999503	0.460919572701297	-0.496622019989562	-1.40394740732812	2.01992105988088	0.427386263508272	-0.219573865633574	-0.183675789279306	0.131625993696385	0.451021759101258	-0.134648209274468
"leiomyoma cell line"	-0.543525114977011	-1.14198099994803	-2.0098691697379	-1.16984123856555	-0.889643333161061	-0.163380050160713	-0.062752339264061	-1.15311509064988	-2.8207155353878	-0.0437948306552527	-1.95193903193199	-0.251611387626785	1.43847767350882
"leiomyosarcoma  cell line"	1.16133345068224	1.05237948252746	0.401234922831753	0.950086094688253	1.09893030494688	1.43369364574547	-0.912307800528356	0.441332871348414	-0.632442280571051	-0.0632401266689641	-0.464331403477621	-1.37459042075062	-0.28708738813516
"lens epithelial cell line"	0.480664829620956	1.46523401742445	-0.116351000342391	1.87774771826161	0.9730369763135	0.792942058850137	0.579269792275801	0.795989886167212	-0.352601738939633	0.455752937613497	0.382638391820036	-0.782570412706418	-0.953652553209786
"liposarcoma cell line"	-0.866043528812102	-0.046065933186161	0.525000127755971	-0.0149526918666537	-0.159639760523854	0.126105466198501	0.415527240494876	-0.513896891116106	0.483369942352709	-0.109036341928623	0.515545350585971	0.692712066667961	-0.118335784855026
"lung adenocarcinoma cell line"	-0.445911222405815	-0.57469101934896	-0.847484984606553	-0.847759496970805	-0.809600421422559	-0.229949471996712	-0.361328820787477	-0.869115424700648	-0.804912003564426	-0.621242350798049	1.08153200221731	0.739074676790629	0.48309111106339
"lymphangiectasia cell line"	-1.19670169874146	-0.943336416951613	0.599073486800672	0.188883753041644	-1.05703820940039	-1.15439520587133	-0.129310225221041	-0.248089066435539	-0.406802999704034	-0.942185814937438	0.281996159001658	0.947089624868723	0.561554091176459
"malignant trichilemmal cyst cell line"	-0.389665114273216	0.536481108432717	0.0400844576907175	0.645735536254947	0.245666229118535	1.15113893161657	1.04540716306846	0.441293451719926	1.19477532770245	0.440318708212812	0.266898597366776	-0.191027713016713	-0.626831847393391
"maxillary sinus tumor cell line"	0.528274866033352	0.872909377620771	-0.0428971308893686	1.54362646076916	-0.205998011853458	-0.0778781644848868	0.388375702532383	0.856425711544885	0.625268761760348	-0.424009002999433	-0.0777464301547386	0.383115983077338	-0.565954954182025
"medulloblastoma cell line"	-0.413649084063332	-0.00879734996694763	0.767232451315711	0.940624181247594	-1.03648604111882	-0.705060572022537	-0.61218063519397	-0.23154738658309	-0.722075257287871	-0.799950780625005	-1.06831234859114	1.09250403340446	0.355858738736827
"melanoma cell line"	-1.910394292717	-0.652452157905769	-0.914941079128134	-0.12042486808467	-0.942923065173171	-0.194654921217357	-0.439692717303293	-0.248089066435539	-0.406802999704034	-0.476257623671427	-0.0471605808004346	1.16941247942838	0.318214449679425
"meningioma cell line"	-0.976023735741298	0.376476807594758	-1.20380612104638	-0.36631761414872	0.443840575259176	0.901275795356949	0.968588772597663	-0.148266151822554	-0.384093782461981	0.879756658509245	0.475180092375785	0.105137507355027	-0.511306390528995
"merkel cell carcinoma cell line"	-0.812186589672547	-0.388360355001613	0.677334977095737	1.49606830579857	-0.703914512431215	-0.937558624210629	0.257281727098814	0.148429659376383	1.18166912730377	-0.645633159346396	0.159849941989074	0.859630805230086	-0.0317099895603628
"mesenchymal stem cell line"	0.176189071300002	-0.264713776949667	-0.992010061089836	-1.09820977514941	-0.243836264979279	0.0910368566195151	0.691239874651147	-0.194489537908172	0.930970751068898	-0.303900775766731	-0.966112128070366	0.62996587769713	0.202627371967469
"mesodermal tumor cell line"	-0.390547398260076	1.50209199302486	0.0382127963919071	0.784489781907789	0.864813128328893	0.650667179785329	1.60637995181638	0.601440289395565	0.296536129433246	0.73757154721274	0.0622221151637611	-0.403122413531203	-0.957154820613183
"mesothelioma cell line"	-0.380555187466707	-0.538636116443171	0.847466501523367	0.199153765852478	-0.497049342465064	0.0921424685327566	-0.223273674972504	-0.698508783818839	-1.66429814094778	-0.636810446275646	-0.418104797335218	0.807008857523127	0.394226402798096
"mixed mullerian tumor cell line"	-0.0826615449072722	0.0179668010379828	-0.845728984685674	-0.846563678633588	0.0612902040263507	-0.366494134088735	-0.359288871735319	-0.623659047244444	0.199327553763339	0.0594013173078674	-0.137234583882786	0.389885030526637	0.17783451427358
"mucinous adenocarcinoma cell line"	-0.240312487794422	-0.0240541386341846	-1.09655737972406	-0.720434567207581	-0.0504530223975856	0.315491095671842	-0.94864844639494	-0.422664103423631	-0.682986238118772	0.474444969149558	-0.0556977873082695	0.154303624405449	0.111510163911135
"mucinous cystadenocarcinoma  cell line"	-0.958972769493766	-0.485913532392517	0.262148912951172	-0.627627435151296	0.0138729757765857	0.193195979480866	1.02544022990708	0.25310802861289	1.07258392710387	1.19024821584969	1.03031647213312	-0.0114511871182837	-0.440444165195291
"myelodysplastic syndrome cell line"	-0.713573622949101	-0.343635320219839	-1.3341828509606	0.364976859381096	-0.634781081714932	0.404435586364673	-0.0815265445598771	0.875697757656987	-1.04434241573385	0.138231653492121	0.665264951396104	0.49509878056811	-0.302876280159715
"myeloma cell line"	-1.20867194351556	0.275529703664507	-0.945413232150928	0.621719838773565	-0.863642174811808	-1.46723957106231	-0.783392450429037	-0.415493348854969	0.0369102672315122	-0.431106177629993	-0.590561594403396	0.558625389991472	0.5065131977351
"myxofibrosarcoma cell line"	-0.484882313674001	0.0218423493462302	-0.918347186138097	-0.432400942636521	-0.547627692116119	-0.199898560889258	0.796949337764577	-0.253517259960245	-0.411982654070477	-0.0204121893431971	0.708283140357652	1.23443378672366	-0.247917461666958
"neuroblastoma cell line"	-0.95968901476978	0.33598416359869	0.260123006578566	0.977166032422892	-0.311449552758898	-0.715443093493284	1.02305211962986	0.702159161829669	0.138114804214726	-0.32299952725783	0.609948050659478	0.187584981094962	-0.278787998681513
"neuroectodermal tumor  cell line"	-0.626984219639706	0.599097595506584	0.25001496594297	0.385428163283506	-0.644157673426946	-0.080868780174577	0.718644206825451	0.349435681228284	-0.339986282579349	-0.471668009744527	0.0634894689303028	0.342619883458115	-0.0531509843430888
"neuroectodermal tumor cell line"	-0.677351314954261	-0.568017041937276	1.05871779587554	0.173024974324226	-0.803054846411025	-1.13906283036818	-0.707095316456917	-0.59977742479153	0.117431554336529	-1.06662860020492	-1.19227699008098	0.999057704315646	0.734311810552286
"neuroepithelioma cell line"	-0.98304372680551	0.716448893563352	0.194063988071818	0.91980948272704	-0.270938297801547	0.105335927062089	0.94518266666174	0.83082756499192	-0.408357712135978	0.208464778259118	0.110118561677362	0.080528694561269	-0.472361055530632
"neurofibroma cell line"	0.794219900475744	-0.479734161676938	-1.08868941256926	-0.863279026726179	0.893194135455716	0.329028698557747	0.552500756123119	0.0503530915862037	-0.671021449487886	0.371550568870404	-0.237852131249957	-0.388853302331869	-0.0868598468397938
"nk t cell leukemia cell line"	-1.56996080760849	-0.520964416675354	0.529437802017596	-0.0120062304866117	-1.4525259134386	-1.22376176735226	-0.807178219798304	-0.804396343977188	-0.486224046450027	-0.428114344052482	0.636303599248572	1.59500901221116	0.425346471865706
